java-samples-P6-Chinese-SA2-2013-Rosyth,True,False
P6_2019_Chinese_SA1_Singapore-Chinese-Girls,True,False
P6-Chinese-SA2-2012-St-Hilda,True,False
P6-Chinese-CA1-2014-Nanyang,True,False
P6-Chinese-SA1-2014-ACS,True,False
P6-Chinese-SA1-2010-Catholic-High,False,True
P6-Higher-Chinese-SA2-2011-Red-Swastika,False,False
P6-Chinese-SA1-2012-Nanyang,True,False
P6-Higher-Chinese-SA2-2010-Maha-Bodhi,False,False
P6-Chinese-CA1-2008-Rosyth,False,True
P6-Chinese-SA2-2014-CHIJ,True,False
P6-Chinese-SA2-2016-Nanyang,True,False
P6-Chinese-2021-SA1-Henry-Park,True,False
P6_2019_Chinese_SA1_Raffles-Girls,True,False
java-samples-P6-Chinese-SA1-2013-Anglo-Chinese,True,False
P6_HChinese_SA2_2020_Tao_Nan_Exam_Papers,False,False
P6_Chinese_SA2_2019_MGS_Exam_Papers,True,False
P6-Chinese-SA1-2014-Catholic-High,False,True
P6_HCL_2019_SA1_Nanyang,False,False
P6-Higher-Chinese-SA1-2011-Catholic-high,False,False
P6_HCL_2019_SA2_Raffles_Primary,False,False
P6-Chinese-SA2-2011-Nan-Hua,True,False
P6_HCL_2019_SA1_CHIJ,False,False
P6-Chinese-SA2-2012-Christian-Brothers,True,False
P6_HChinese_CA1_2018_Nanyang_Exam_Papers,False,False
P6_HChinese_CA1_2018_Maha_Bodhi_Exam_Papers,False,False
P6-Higher-Chinese-SA2-2011-Rosyth,False,False
2015-P6-Prelims-Chinese-Temasek,True,False
P6-Higher-Chinese-SA2-2014-CHIJ,False,False
P6-Chinese-2021-SA1-Ai-Tong,True,False
P6_HCL_2019_SA1_Rosyth,False,False
P6_HChinese_SA2_2018_St_Nicholas_Exam_Papers,False,False
P6-Chinese-SA1-2009-Nanyang,False,True
P6_Chinese_SA2_2020_Nanyang_Exam_Papers,True,False
P6-Chinese-SA2-2012-MGS,True,False
P6-Higher-Chinese-SA1-2011-Rosyth,False,False
P6-Higher-Chinese-CA1-2014-Nan-Hua,False,False
P6_Chinese_SA2_2019_Nan_Hua_Exam_Papers,True,False
java-samples-P6-Chinese-SA1-2013-Nan-Hua,True,False
P6-Chinese-CA1-2004-Methodist-Girls,False,False
P6-Higher-Chinese-2021-SA1-Raffles-Girls,False,False
P6_Chinese_SA1_2018_Raffles_Exam_Papers,True,False
P6-Chinese-CA1-2008-Nan-Hua,False,True
P6-Chinese-CA1-2012-Red-Swastika,True,False
P6-Chinese-SA2-2016-Singapore-Chinese-Girls,True,False
P6_Chinese_2022_SA2_acs,True,False
P6-Higher-Chinese-SA2-2014-Maris-Stella,False,False
P6-Higher-Chinese-SA2-2010-ACS,False,False
P6-Higher-Chinese-SA2-2017-Pei-Hwa,False,False
P6-Chinese-SA2-2009-CHIJ,False,True
